month,trend,seasonal,resid
2022-10,2859.0061723613026,-2510.297548758784,-239.7086236025184
2022-11,2865.876316913526,-651.9936503160661,124.96733340254059
2022-12,2872.064440309793,3352.477116691472,-5.801557001265337
2023-01,2877.6282898611457,4114.919469553231,-6134.6177594143755
2023-02,2882.5728599764584,-863.0493886378514,167.59652866139277
2023-03,2886.8097561858604,-812.1185480318676,-17.941208153992648
2023-04,2889.9768682341105,385.76560200518225,-27.872470239292852
2023-05,2891.3623936106083,206.98982886114368,5.747777528248207
2023-06,2889.6412808806244,-596.3548386631296,-55.336442217495005
2023-07,2882.334657708251,-1003.0136136826209,33.488955974369674
2023-08,2867.3698710339177,-1259.1826877788633,146.6028167449458
2023-09,2862.2267826189172,-1687.7823674999918,423.23558488107483
2023-10,2875.270505720567,-936.8033336298204,-312.4971720907465
2023-11,2891.7243620458908,2352.994630248094,-3006.7989922939846
2023-12,2909.5163294984313,4091.3697645597263,1790.623905941843
2024-01,2927.492415441137,-1035.366258144991,-305.01615729614605
2024-02,2941.9526435417247,-520.8551414469091,-1330.7675020948157
2024-03,2953.063434577764,94.24504483033277,-2134.3384794080966
2024-04,2964.5119938706284,-132.80094802848794,-1104.7210458421405
2024-05,2983.7406462995236,-734.5650711296969,170.23442483017288
2024-06,3014.0443132991377,-288.907397349827,-20.97691594931075
2024-07,3038.880071594067,-732.5838000302962,-301.48627156377097
2024-08,3041.4665289444174,-1052.8491550582585,482.5426261138409
2024-09,3025.8222649731138,-1204.3801596463043,225.88789467319066
2024-10,2994.7345430408336,1364.0353563943947,-2873.899899435228
2024-11,2947.430734244035,4078.6660165883345,-2771.486750832369
2024-12,2891.0451165198833,-1089.0033614197139,7820.348244899831
2025-01,2831.1613564101053,-256.2823936887917,161.35103727868682
2025-02,2769.178960934058,-249.8511766341118,260.0722157000537
2025-03,2696.0524016901395,-461.2269813069982,34.604579616859155
2025-04,2577.924102996645,-886.6775070433008,-28.266595953344222
2025-05,2453.5082659515183,445.66982668823744,58.25190736024433
2025-06,2325.0522292859464,-141.40757022707223,171.43534094112556
2025-09,2193.923125049733,-599.4246394883148,-175.61848556141808
2025-10,2060.8714463338856,-1407.733974382484,-25.85747195140175
2025-11,1926.4704740218667,386.07441463753963,34.605111340593794
2025-12,1791.1194533190405,4076.9146960835196,34.34585059743995
2026-01,1655.0589906160044,-1040.231537662032,77.17254704602738
2026-02,1518.41049693694,-29.999235312037218,-37.57126162490272
2026-03,1381.200162661966,-661.743992902371,-84.31616975959491
