First Ordered Product,Total Customers,Total Spent,Avg Spent,Total Orders,Avg Orders,Total Items,Avg Items,Returning Customers,Returning Customers Rate
Merry Goat Round,104,22114.14,212.64,201,1.93,1210,11.63,29,27.9
Cabra LaMancha,87,12457.51,143.19,119,1.37,576,6.62,24,27.6
Black & Blue,82,12384.51,151.03,123,1.5,569,6.94,19,23.2
Mountain Top,72,14507.95,201.5,140,1.94,776,10.78,18,25.0
Cave Dweller,53,7474.31,141.02,73,1.38,380,7.17,11,20.8
FireFly Farms Christmas Sampler,53,11013.39,207.8,96,1.81,147,2.77,12,22.6
Bloomy Breeze,51,9269.64,181.76,90,1.76,537,10.53,17,33.3
Fresh Goat Cheese,44,6067.88,137.91,61,1.39,329,7.48,9,20.5
Merry Goat Round Spruce Reserve,42,6646.49,158.25,59,1.4,318,7.57,11,26.2
Mother's Day Gift Box,39,5308.8,136.12,51,1.31,64,1.64,7,17.9
Barely Blue — sampler box,39,10137.73,259.94,117,3.0,188,4.82,14,35.9
Moo & Blue,38,6605.85,173.84,68,1.79,309,8.13,14,36.8
All Goat,38,7733.31,203.51,52,1.37,112,2.95,6,15.8
Carpenter's Wheel,37,5821.2,157.33,49,1.32,266,7.19,9,24.3
All Spruced Up — sampler box,31,6200.7,200.02,65,2.1,109,3.52,8,25.8
White Rock,22,3449.3,156.79,31,1.41,195,8.86,5,22.7
Taste of Fall,20,4106.02,205.3,40,2.0,110,5.5,9,45.0
FireFly Cheese Club,18,9561.38,531.19,116,6.44,134,7.44,18,100.0
Honey honey — sampler box,18,3225.28,179.18,34,1.89,64,3.56,7,38.9
2764,17,10632.31,625.43,159,9.35,165,9.71,15,88.2
Wensleydale with Cranberry,15,2213.37,147.56,21,1.4,106,7.07,4,26.7
Cow's Milk Sampler,15,2089.83,139.32,17,1.13,40,2.67,1,6.7
3152,14,946.89,67.64,17,1.21,19,1.36,3,21.4
The Heritage Sampler,13,2195.52,168.89,21,1.62,40,3.08,4,30.8
2768,10,5296.27,529.63,72,7.2,81,8.1,10,100.0
2742,10,3268.84,326.88,75,7.5,78,7.8,9,90.0
FireFly Sampler,9,1011.55,112.39,9,1.0,18,2.0,0,0.0
3156,8,674.14,84.27,9,1.13,14,1.75,1,12.5
3072,6,1945.43,324.24,32,5.33,57,9.5,6,100.0
Winter Blues,5,726.01,145.2,7,1.4,9,1.8,1,20.0
Potter's Organic Winter Wheat Crackers,4,410.78,102.7,4,1.0,18,4.5,0,0.0
Organic Sourdough Sea Salt Crackers,4,583.15,145.79,5,1.25,28,7.0,1,25.0
Big Picture Farm Chocolate Covered Goat Milk Caramels,4,777.34,194.34,7,1.75,27,6.75,1,25.0
Cradoc's Sea Salted Crackers,4,691.34,172.84,5,1.25,23,5.75,1,25.0
3059,4,523.04,130.76,14,3.5,14,3.5,4,100.0
American Cheese Month Sampler,4,633.02,158.26,5,1.25,10,2.5,1,25.0
3106,3,300.0,100.0,3,1.0,3,1.0,0,0.0
3076,3,1268.18,422.73,20,6.67,20,6.67,3,100.0
Red Leicester,3,322.6,107.53,3,1.0,17,5.67,0,0.0
Cabrita,3,451.02,150.34,4,1.33,31,10.33,1,33.3
Flouwer Co. Artisanal Crackers,2,252.65,126.33,3,1.5,13,6.5,1,50.0
Parra Jimenez Organic Manchego,2,331.2,165.6,2,1.0,7,3.5,0,0.0
Nat's Nuts Cinnamon Whiskey Pecans,2,490.93,245.47,5,2.5,22,11.0,1,50.0
3894,2,831.6,415.8,13,6.5,13,6.5,2,100.0
Jumping Jack,2,232.63,116.32,2,1.0,11,5.5,0,0.0
Shakerag Blue,2,330.13,165.07,2,1.0,15,7.5,0,0.0
Legendary Moo,1,136.76,136.76,1,1.0,6,6.0,0,0.0
West Virginia Cherry-Jalapeño Pepper Jam,1,116.81,116.81,1,1.0,6,6.0,0,0.0
Green Dirt Prairie Tomme,1,103.59,103.59,1,1.0,6,6.0,0,0.0
Herdsman,1,172.64,172.64,1,1.0,10,10.0,0,0.0
Blake Hill Gooseberry with Elderflower,1,116.81,116.81,1,1.0,6,6.0,0,0.0
Cheese Wedge Ornament,1,179.73,179.73,1,1.0,3,3.0,0,0.0
3100,1,75.0,75.0,1,1.0,1,1.0,0,0.0
Artisan Fruitcake Crisps,1,93.47,93.47,1,1.0,4,4.0,0,0.0
