Country ID,Active users
AD,1
AE,31
AF,1
AL,4
AM,1
AO,2
AR,68
AT,1
AU,74
AW,2
AZ,13
BA,9
BD,46
BG,2
BH,5
BI,1
BM,1
BO,3
BR,197
BS,3
BY,3
BZ,1
CA,1391
CG,3
CI,2
CL,17
CN,6279
CO,36
CR,8
CZ,3
DE,17
DM,1
DO,4
DZ,7
EC,14
EG,18
EH,1
ES,3
ET,3
FR,16
GB,11
GD,2
GE,2
GH,5
GM,6
GT,3
GY,1
HK,26
HN,4
HU,9
ID,79
IE,2
IL,10
IM,1
IN,494
IQ,34
IR,14
JE,1
JM,4
JO,18
JP,49
KE,32
KG,4
KH,9
KR,15
KW,3
KY,1
KZ,8
LA,2
LB,2
LC,1
LK,7
LU,3
LY,1
MA,17
MD,2
MG,1
MK,1
ML,1
MM,2
MN,5
MU,1
MV,1
MX,66
MY,5
,1
NG,22
NI,1
NL,5
NP,9
NZ,17
OM,8
PA,4
PE,13
PH,177
PK,113
PR,14
PS,1
PY,8
QA,6
RS,7
RU,54
RW,1
SA,36
SG,2300
SL,2
SN,7
SV,3
SY,7
TH,16
TJ,1
TN,5
TR,38
TW,6
UA,16
US,60983
UY,6
UZ,12
VE,36
VN,66
XK,2
ZA,41
ZM,1
