Item name,Items purchased
Merry Goat Round,318
Cabra LaMancha,150
Merry Goat Round Spruce Reserve,128
Bloomy Breeze,105
Fresh Goat Cheese,91
Mountain Top,86
Black & Blue,64
Cave Dweller,58
Carpenter's Wheel,55
White Rock,40
Black &amp; Blue,37
FireFly Cheese Club,31
FireFly Farms Christmas Sampler,29
All Goat,27
Wensleydale with Cranberry,21
Red Leicester,19
Cabrita,18
Moo & Blue,18
Mother's Day Gift Box,16
Flouwer Co. Artisanal Crackers,15
Moo &amp; Blue,15
All Spruced Up — sampler box,13
Barely Blue — sampler box,11
Cow's Milk Sampler,11
FireFly Sampler,11
Potter's Organic Winter Wheat Crackers,10
American Cheese Month Sampler,9
The Heritage Sampler,9
Honey honey — sampler box,8
Nat's Nuts Cinnamon Whiskey Pecans,8
Organic Sourdough Sea Salt Crackers,8
Cradoc's Sea Salted Crackers,7
Legendary Moo,7
Parra Jimenez Organic Manchego,6
Legendary Blue,5
Oveja Negra Organic Manchego,5
Big Picture Farm Chocolate Covered Goat Milk Caramels,4
Jumping Jack,4
Jumping Jack Sampler,4
Barnacle Foods Spruce Tip Jelly,2
Green Dirt Prairie Tomme,2
Shakerag Blue,2
Artisan Fruitcake Crisps,1
Blake Hill Gooseberry with Elderflower,1
Cheese Wedge Ornament,1
Coffee Blossom Honey,1
Herdsman,1
West Virginia Cherry-Jalapeño Pepper Jam,1
