product_id,net_orders,title,category
930,145.0,Cabra LaMancha,Uncategorized
934,54.0,Moo & Blue,FireFly Cheese
937,132.0,Black & Blue,FireFly Cheese
940,95.0,Bloomy Breeze,FireFly Cheese
943,196.0,Merry Goat Round,FireFly Cheese
947,85.0,Cave Dweller,FireFly Cheese
950,116.0,Mountain Top,FireFly Cheese
953,81.0,Fresh Goat Cheese,FireFly Cheese
1903,86.0,Merry Goat Round Spruce Reserve,FireFly Cheese
2078,64.0,Carpenter's Wheel,Our Cheeses
2772,43.0,All Spruced Up — sampler box,Sampler Boxes
2800,65.0,Barely Blue — sampler box,Sampler Boxes
2802,25.0,Honey honey — sampler box,Sampler Boxes
2884,35.0,Taste of Fall,Website
2983,80.0,FireFly Farms Christmas Sampler,Sampler Boxes
3351,52.0,Mother's Day Gift Box,Sampler Boxes
3470,0.0,Father's Day Gift Box,Website
3868,0.0,Black & Blue (Pre-cut),"Our Cheeses
Award-Winning"
3871,0.0,Moo & Blue (Pre-cut),"Our Cheeses
Award-Winning"
3979,10.0,Winter Blues,Sampler Boxes
3985,24.0,The Heritage Sampler,Sampler Boxes
3990,52.0,All Goat,Sampler Boxes
3992,18.0,Cow's Milk Sampler,Sampler Boxes
4116,194.0,FireFly Cheese Club,Subscription Boxes
4321,10.0,American Cheese Month Sampler,Sampler Boxes
4475,7.0,Cradoc's Sea Salted Crackers,Crackers
4555,0.0,Halloween Sampler,Sampler Boxes
4602,41.0,White Rock,Our Cheeses
4634,6.0,Big Picture Farm Chocolate Covered Goat Milk Caramels,Uncategorized
4647,0.0,Mystery Cheese,
4677,21.0,Wensleydale with Cranberry,Other Cheeses
5343,9.0,Flouwer Co. Artisanal Crackers,Savory
5347,8.0,Organic Sourdough Sea Salt Crackers,Savory
5350,8.0,Nat's Nuts Cinnamon Whiskey Pecans,Jams and Sweet Pairings
5388,1.0,Coffee Blossom Honey,Jams and Sweet Pairings
7272,11.0,Jumping Jack,Our Cheeses
8041,0.0,Patagonia Rosemary Garlic Organic Crackers,Uncategorized
8383,2.0,Shakerag Blue,
8385,1.0,Herdsman,
8862,11.0,Cabrita,Our Cheeses
9201,4.0,Legendary Blue,Our Cheeses
9518,1.0,Nat's Nuts Vanilla Chai Cashews,Jams and Sweet Pairings
9520,1.0,Nat's Nuts Maple Bourbon Almonds,Jams and Sweet Pairings
9523,0.0,Girl Meets Dirt Rhubarb Lavender Spoon Preserves,Jams and Sweet Pairings
11909,9.0,Red Leicester,Other Cheeses
12544,8.0,Parra Jimenez Organic Manchego,Other Cheeses
12547,1.0,Cheese Wedge Ornament,Non-Food Items
12550,2.0,Green Dirt Prairie Tomme,Other Cheeses
12554,8.0,Potter's Organic Winter Wheat Crackers,Crackers
12644,12.0,FireFly Sampler,Sampler Boxes
12713,1.0,Barnacle Foods Spruce Tip Jelly,Jams and Sweet Pairings
13261,4.0,Legendary Moo,Our Cheeses
13474,1.0,Blake Hill Gooseberry with Elderflower,Jams and Sweet Pairings
13476,1.0,West Virginia Cherry-Jalapeño Pepper Jam,Jams and Sweet Pairings
13478,1.0,Artisan Fruitcake Crisps,Crackers
13506,0.0,Huntsman (Long Clawson),Other Cheeses
